1. The Shawshank Redemption,1994,2h 22m,A,9.3
2. The Godfather,1972,2h 55m,A,9.2
3. The Dark Knight,2008,2h 32m,UA,9.0
4. The Godfather: Part II,1974,3h 22m,A,9.0
5. 12 Angry Men,1957,1h 36m,U,9.0
6. Schindler's List,1993,3h 15m,A,9.0
7. The Lord of the Rings: The Return of the King,2003,3h 21m,U,9.0
8. Pulp Fiction,1994,2h 34m,A,8.9
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,U,8.9
"10. Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,A,8.8
11. Forrest Gump,1994,2h 22m,UA,8.8
12. Fight Club,1999,2h 19m,A,8.8
13. The Lord of the Rings: The Two Towers,2002,2h 59m,UA,8.8
14. Inception,2010,2h 28m,UA,8.8
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,UA,8.7
16. The Matrix,1999,2h 16m,A,8.7
17. GoodFellas,1990,2h 25m,A,8.7
18. One Flew Over the Cuckoo's Nest,1975,2h 13m,A,8.7
19. Se7en,1995,2h 7m,A,8.6
20. It's a Wonderful Life,1946,2h 10m,PG,8.6
21. Interstellar,2014,2h 49m,UA,8.7
22. Shichinin No Samurai,1954,3h 27m,U,8.6
23. The Silence of the Lambs,1991,1h 58m,A,8.6
24. Saving Private Ryan,1998,2h 49m,A,8.6
25. City of God,2002,2h 10m,A,8.6
26. Life Is Beautiful,1997,1h 56m,U,8.6
27. The Green Mile,1999,3h 9m,UA,8.6
28. Terminator 2: Judgment Day,1991,2h 17m,A,8.6
29. Star Wars: Episode IV - A New Hope,1977,2h 1m,U,8.6
30. Spider-man: Across the Spider-verse,2023,2h 20m,U,8.6
31. Back to the Future,1985,1h 56m,U,8.5
32. Spirited Away,2001,2h 5m,U,8.6
33. The Pianist,2002,2h 30m,13,8.5
34. Parasite,2019,2h 12m,A,8.5
35. Psycho,1960,1h 49m,A,8.5
36. Gladiator,2000,2h 35m,UA,8.5
37. The Lion King,1994,1h 28m,U,8.5
38. Léon,1994,1h 50m,A,8.5
39. The Departed,2006,2h 31m,A,8.5
40. American History X,1998,1h 59m,R,8.5
41. Whiplash,2014,1h 46m,A,8.5
42. The Prestige,2006,2h 10m,U,8.5
